Strategy,Dataset,Sensitive Feature,Clusters,Average Span (%),Max Silhouette Difference,Max DBI Difference,Silhouette Score,Davies-Bouldin Index,Time Taken (s)
Custom KMeans,Sin1,Z,2,3.59,0.1811,0.6836,0.2589,1.4422,32.43
Custom KMeans,Sin1,Z,3,47.56,0.2118,0.8453,0.2321,1.4369,44.66
Custom KMeans,Sin1,Z,5,73.41,0.0632,0.1631,0.1536,1.9249,50.03
