Strategy,Dataset,Sensitive Feature,Clusters,Average Span (%),Max Silhouette Difference,Max DBI Difference,Silhouette Score,Davies-Bouldin Index,Time Taken (s)
Custom KMeans,Acs,RAC1P,2,0.628,0.1435,0.17,0.5305,0.656,40.28
Custom KMeans,Acs,RAC1P,3,1.928,0.053,0.0461,0.6361,0.4431,66.29
Custom KMeans,Acs,RAC1P,5,2.628,0.062,0.1027,0.5958,0.4816,67.57
