Strategy,Dataset,Sensitive Feature,Clusters,Average Span (%),Max Silhouette Difference,Max DBI Difference,Silhouette Score,Davies-Bouldin Index,Time Taken (s)
Custom KMeans,Sin2,Z,2,3.59,0.1811,0.6839,0.2589,1.4422,33.47
Custom KMeans,Sin2,Z,3,47.56,0.2119,0.8457,0.2321,1.437,44.6
Custom KMeans,Sin2,Z,5,73.39,0.063,0.164,0.1534,1.9263,51.52
