Strategy,Dataset,Sensitive Feature,Clusters,Average Span (%),Max Silhouette Difference,Max DBI Difference,Silhouette Score,Davies-Bouldin Index,Time Taken (s)
Regular KMeans,Sin2,Z,2,3.11,0.1802,0.6799,0.2586,1.4443,0.07
Regular KMeans,Sin2,Z,3,57.49,0.2044,0.5798,0.2411,1.4427,0.06
Regular KMeans,Sin2,Z,5,66.99,0.1151,0.4106,0.1901,1.6172,0.09
