Strategy,Dataset,Sensitive Feature,Clusters,Average Span (%),Max Silhouette Difference,Max DBI Difference,Silhouette Score,Davies-Bouldin Index,Time Taken (s)
Regular KMeans,Acs,SEX,2,11.15,0.0286,0.09,0.5485,0.6183,0.37
Regular KMeans,Acs,SEX,3,36.82,0.014,0.0161,0.6361,0.4431,0.34
Regular KMeans,Acs,SEX,5,46.82,0.0597,0.0236,0.6044,0.4719,0.52
