Strategy,Dataset,Sensitive Feature,Clusters,Average Span (%),Max Silhouette Difference,Max DBI Difference,Silhouette Score,Davies-Bouldin Index,Time Taken (s)
Silhouette Score KMeans,Sin3,Z,2,10.1,0.0288,0.1314,0.215,1.6565,41.01
Silhouette Score KMeans,Sin3,Z,3,11.37,0.0773,0.4808,0.1845,1.6752,41.76
Silhouette Score KMeans,Sin3,Z,5,28.81,0.0446,0.172,0.1507,1.6992,345.44
