Strategy,Dataset,Sensitive Feature,Clusters,Average Span (%),Max Silhouette Difference,Max DBI Difference,Silhouette Score,Davies-Bouldin Index,Time Taken (s)
Silhouette Score KMeans,Sin1,Z,2,3.59,0.1811,0.6836,0.2589,1.4422,83.8
Silhouette Score KMeans,Sin1,Z,3,57.58,0.2048,0.5794,0.2411,1.4429,51.25
Silhouette Score KMeans,Sin1,Z,5,67.39,0.1156,0.407,0.1901,1.6176,193.07
