Strategy,Dataset,Sensitive Feature,Clusters,Average Span (%),Max Silhouette Difference,Max DBI Difference,Silhouette Score,Davies-Bouldin Index,Time Taken (s)
Sensitive Division KMeans,Acs,RAC1P,2,0.639,0.1304,0.1604,0.53,0.6573,0.7
Sensitive Division KMeans,Acs,RAC1P,3,1.928,0.053,0.0461,0.6361,0.4431,0.72
Sensitive Division KMeans,Acs,RAC1P,5,2.586,0.0908,0.1274,0.5671,0.4954,0.78
