Strategy,Dataset,Sensitive Feature,Clusters,Average Span (%),Max Silhouette Difference,Max DBI Difference,Silhouette Score,Davies-Bouldin Index,Time Taken (s)
Sensitive Division KMeans,Sin1,Z,2,0.34,0.1746,0.6558,0.2569,1.457,0.07
Sensitive Division KMeans,Sin1,Z,3,49.43,0.2068,0.7787,0.2399,1.4083,0.09
Sensitive Division KMeans,Sin1,Z,5,67.2,0.1365,0.379,0.1896,1.6051,0.13
